,Ping (ms),Download (Mbit/s),Upload (Mbit/s),Date,Time
0,b'21.661',b'2469.13',b'552.68',2026-02-17,08:26:22
1,b'13.242',b'2603.62',b'558.49',2026-02-17,08:26:27
2,b'13.139',b'2263.88',b'635.75',2026-02-17,08:26:32
3,b'13.3',b'2344.32',b'618.81',2026-02-17,08:26:36
4,b'13.04',b'2883.40',b'558.77',2026-02-17,08:26:41
5,b'13.02',b'2552.66',b'646.07',2026-02-17,08:26:46
6,b'13.044',b'2360.04',b'630.02',2026-02-17,08:26:50
7,b'13.107',b'2329.67',b'642.47',2026-02-17,08:26:55
8,b'13.148',b'2217.74',b'572.83',2026-02-17,08:27:00
9,b'13.162',b'3424.87',b'729.07',2026-02-17,08:27:05
10,b'13.388',b'2366.15',b'650.85',2026-02-17,08:27:09
11,b'13.312',b'2351.31',b'571.26',2026-02-17,08:27:14
12,b'13.182',b'3504.12',b'644.38',2026-02-17,08:27:19
13,b'13.105',b'2326.49',b'652.45',2026-02-17,08:27:23
14,b'13.078',b'2224.50',b'675.33',2026-02-17,08:27:28
15,b'13.032',b'3095.19',b'571.77',2026-02-17,08:27:32
16,b'13.062',b'2208.34',b'621.78',2026-02-17,08:27:37
17,b'13.403',b'2305.52',b'688.75',2026-02-17,08:27:42
18,b'12.813',b'3169.05',b'546.21',2026-02-17,08:27:47
19,b'13.095',b'2328.07',b'708.55',2026-02-17,08:27:51
20,b'13.177',b'2321.72',b'672.02',2026-02-17,08:27:56
21,b'13.19',b'2410.52',b'566.41',2026-02-17,08:28:00
22,b'13.057',b'2398.63',b'577.06',2026-02-17,08:28:05
23,b'13.362',b'2821.95',b'620.59',2026-02-17,08:28:10
24,b'13.1',b'2215.31',b'562.36',2026-02-17,08:28:15
25,b'13.045',b'2260.17',b'661.81',2026-02-17,08:28:20
26,b'13.115',b'3306.13',b'590.47',2026-02-17,08:28:24
27,b'13.149',b'2221.73',b'634.63',2026-02-17,08:28:29
28,b'13.132',b'2320.11',b'666.82',2026-02-17,08:28:34
29,b'13.27',b'2987.30',b'603.13',2026-02-17,08:28:39
30,b'13.019',b'2300.36',b'620.18',2026-02-17,08:28:43
31,b'12.97',b'2235.33',b'593.64',2026-02-17,08:28:48
32,b'13.153',b'2364.96',b'683.74',2026-02-17,08:31:18
33,b'13.156',b'2225.70',b'649.08',2026-02-17,08:31:22
34,b'13.073',b'3098.24',b'648.54',2026-02-17,08:31:27
35,b'17.291',b'2292.59',b'576.87',2026-02-17,08:31:31
